Vendedor Provincia;Vendedor Departamento;Producto;Variedad;Volumen (litros);Fecha;Precio;Forma de Pago
MENDOZA                       ;SANTA ROSA                    ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;17100;2022-04-30;50;DIFERIDO                      
MENDOZA                       ;SANTA ROSA                    ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;6028;2022-04-30;50;DIFERIDO                      
MENDOZA                       ;JUNIN                         ;VINO TINTO                                                  ;-- -  - ;25000;2022-04-30;50;DIFERIDO                      
MENDOZA                       ;LAVALLE                       ;VINO BLANCO                                                 ;-- -  - ;50000;2022-04-29;60,49;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;VINO BLANCO                                                 ;-- -  - ;100000;2022-04-29;50;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;VINO TINTO                                                  ;-- -  - ;33705;2022-04-29;63,5;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;20000;2022-04-29;60;DIFERIDO                      
MENDOZA                       ;LAVALLE                       ;VINO BLANCO                                                 ;-- -  - ;4500;2022-04-29;64,08;CONTADO                       
MENDOZA                       ;LAVALLE                       ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;80000;2022-04-29;52,75;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL BLANCO                                        ;CHENIN-OTRAS VAR.BLANCAS P/VINIFICAR- - OTRAS VAR.BLANCAS P/VINIFICAR  - ;232000;2022-04-29;60,5;CONTADO                       
MENDOZA                       ;JUNIN                         ;VINO BLANCO                                                 ;-- -  - ;8013;2022-04-29;35;CONTADO                       
MENDOZA                       ;JUNIN                         ;VINO BLANCO                                                 ;-- -  - ;1987;2022-04-29;35;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO TINTO                                                  ;-- -  - ;6145;2022-04-29;52;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;5147;2022-04-29;40;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;17835;2022-04-29;42;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL TINTO                                         ;BONARDA-- -  - ;9207;2022-04-29;52;CONTADO                       
